,PSAVERT,gdp_change,pconsum_change,psave_change,cpi,unrate,dff,SP500,SP500_return,BAMLCC0A0CMTRIV,Bond_return,SOFR,SP500_Prev_Month_Return,Bond_Prev_Month_Return,optimal_stock_w
2018-05-01,6.0,0.0035278320027800625,0.0048126951092613,0.0,2.9818325508401204,3.8,1.7,2654.8,0.0025490455240648746,2812.07,-0.003335129081191379,1.76,0.012851651398956054,-0.006293693979255832,0.17665318744926928
2018-06-01,6.3,0.003515430155772936,0.0018266810499820707,0.050000000000000044,2.6321178885371204,4.0,1.7,2734.62,0.01084919435028664,2822.76,-0.0040293841604978065,1.81,0.0190108482748228,0.007862535427638706,0.2064299053940712
2018-07-01,6.5,0.0035031151989632914,0.0031872738758398356,0.031746031746031855,2.1114939144998495,3.8,1.91,2718.37,0.0007583817752760957,2818.58,0.0004294785562422021,2.12,-0.005942324710563107,-0.001480820190168597,0.0
2018-08-01,6.6,0.001909363376193296,0.0028050490883591017,0.01538461538461533,2.2967112867851,3.8,1.91,2813.36,-0.0010403758135703045,2833.24,-0.0022994820003029437,1.88,0.03285277862332259,0.00817253927398598,0.09457433255095705
2018-09-01,6.8,0.0019057246553313423,0.0002711574140144002,0.030303030303030276,2.3337233555462205,3.7,1.91,2901.52,0.00013443037712890238,2855.22,-0.00025210613668358306,1.97,0.031336195865441896,0.0077579026132625906,0.18270933182735705
2018-10-01,6.7,0.0019020997768894876,0.004658362938549709,-0.014705882352941124,2.60626268747923,3.8,2.18,2924.59,0.0036410682297065566,2841.2,-0.0014409728323904192,2.22,0.005958463365461686,3.5145802361746803e-06,0.08814900187387718
2018-11-01,6.5,0.0030872013225184958,0.005666366069970286,-0.02985074626865669,3.7237636017007696,3.8,2.2,2740.37,0.0105577968389301,2808.7,0.00043455340732601044,2.22,-0.07277943233068584,-0.01186822469379134,0.0
2018-12-01,8.4,0.003077699843491377,-0.007858560040669538,0.2923076923076924,2.9117770150544304,3.9,2.2,2760.17,0.00818552393197347,2802.12,9.993432886945541e-05,2.28,0.007225301692837194,-0.002342720831701506,0.06699105977637577
2019-01-01,8.4,0.003068256670417213,0.0023484870050385354,0.0,2.88960472562634,4.0,2.4,2506.85,0.008492440882795549,2844.18,0.002340055118165596,3.0,-0.10160659697459473,0.012023242325798211,0.0933077489919711
2019-02-01,8.5,0.004521021618446808,0.0023287846300212856,0.011904761904761862,2.9782176262610895,3.8,2.4,2706.53,0.000898635405495396,2900.19,-0.0012156819528053031,2.47,0.07731780098245822,0.01912804206063412,0.031548195910573985
2019-03-01,7.9,0.004500673974112246,0.009293495969512788,-0.07058823529411762,3.2102411483228703,3.8,2.4,2803.69,0.0068953381050032014,2909.41,-0.00162997227331374,2.38,0.02880441007489276,0.004816925787620718,0.17354316582826423
